============================================================
  Model #17  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 21:54:30
============================================================
[21:54:31] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[21:55:36] TRAIN  Step 63,000/100,000 (63.0%) | FPS 1650
[21:55:37] TRAIN  Step 64,000/100,000 (64.0%) | FPS 1657
[21:55:37] TRAIN  Step 65,000/100,000 (65.0%) | FPS 1664
[21:55:38] TRAIN  Step 65,536/100,000 (65.5%) | Loss 1012.405396 | FPS 1668
[21:55:38] TRAIN  Step 66,000/100,000 (66.0%) | FPS 1648
[21:55:39] TRAIN  Step 67,000/100,000 (67.0%) | FPS 1656
[21:55:39] TRAIN  Step 68,000/100,000 (68.0%) | FPS 1660
[21:55:40] TRAIN  Step 69,000/100,000 (69.0%) | FPS 1665
[21:55:40] TRAIN  Step 69,632/100,000 (69.6%) | Loss 924.320129 | FPS 1669
[21:55:41] TRAIN  Step 70,000/100,000 (70.0%) | FPS 1652
[21:55:41] TRAIN  Step 71,000/100,000 (71.0%) | FPS 1660
[21:55:42] TRAIN  Step 72,000/100,000 (72.0%) | FPS 1662
[21:55:42] TRAIN  Step 73,000/100,000 (73.0%) | FPS 1668
[21:55:42] TRAIN  Step 73,728/100,000 (73.7%) | Loss 471.304260 | FPS 1672
[21:55:43] TRAIN  Step 74,000/100,000 (74.0%) | FPS 1651
[21:55:44] TRAIN  Step 75,000/100,000 (75.0%) | FPS 1658
[21:55:44] TRAIN  Step 76,000/100,000 (76.0%) | FPS 1663
[21:55:44] TRAIN  Step 77,000/100,000 (77.0%) | FPS 1671
[21:55:45] TRAIN  Step 77,824/100,000 (77.8%) | Loss 348.279266 | FPS 1673
[21:55:45] TRAIN  Step 78,000/100,000 (78.0%) | FPS 1656
[21:55:46] TRAIN  Step 79,000/100,000 (79.0%) | FPS 1658
[21:55:46] TRAIN  Step 80,000/100,000 (80.0%) | FPS 1665
