============================================================
  Model #18  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 23:01:54
============================================================
[23:01:54] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[23:02:18] TRAIN  Step 1,000/100,000 (1.0%) | FPS 2384
[23:02:18] TRAIN  Step 2,000/100,000 (2.0%) | FPS 2485
[23:02:19] TRAIN  Step 3,000/100,000 (3.0%) | FPS 2504
[23:02:19] TRAIN  Step 4,000/100,000 (4.0%) | FPS 2444
[23:02:19] TRAIN  Step 4,096/100,000 (4.1%) | FPS 2434
[23:02:20] TRAIN  Step 5,000/100,000 (5.0%) | FPS 1964
[23:02:21] TRAIN  Step 6,000/100,000 (6.0%) | FPS 2040
[23:02:21] TRAIN  Step 7,000/100,000 (7.0%) | FPS 2071
[23:02:21] TRAIN  Step 8,000/100,000 (8.0%) | FPS 2104
[23:02:22] TRAIN  Step 8,192/100,000 (8.2%) | Loss 347.713562 | FPS 2109
[23:02:23] TRAIN  Step 9,000/100,000 (9.0%) | FPS 1674
[23:02:23] TRAIN  Step 10,000/100,000 (10.0%) | FPS 1720
[23:02:24] TRAIN  Step 11,000/100,000 (11.0%) | FPS 1757
[23:02:24] TRAIN  Step 12,000/100,000 (12.0%) | FPS 1796
[23:02:25] TRAIN  Step 12,288/100,000 (12.3%) | Loss 205.888641 | FPS 1796
[23:02:25] TRAIN  Step 13,000/100,000 (13.0%) | FPS 1700
[23:02:26] TRAIN  Step 14,000/100,000 (14.0%) | FPS 1741
[23:02:26] TRAIN  Step 15,000/100,000 (15.0%) | FPS 1784
[23:02:27] TRAIN  Step 16,000/100,000 (16.0%) | FPS 1812
[23:02:27] TRAIN  Step 16,384/100,000 (16.4%) | Loss 599.024353 | FPS 1821
[23:02:27] TRAIN  Step 17,000/100,000 (17.0%) | FPS 1735
[23:02:28] TRAIN  Step 18,000/100,000 (18.0%) | FPS 1765
[23:02:28] TRAIN  Step 19,000/100,000 (19.0%) | FPS 1799
[23:02:29] TRAIN  Step 20,000/100,000 (20.0%) | FPS 1824
[23:02:29] TRAIN  Step 20,480/100,000 (20.5%) | Loss 318.847595 | FPS 1833
[23:02:30] TRAIN  Step 21,000/100,000 (21.0%) | FPS 1763
[23:02:30] TRAIN  Step 22,000/100,000 (22.0%) | FPS 1778
[23:02:30] TRAIN  Step 23,000/100,000 (23.0%) | FPS 1801
[23:02:31] TRAIN  Step 24,000/100,000 (24.0%) | FPS 1823
[23:02:31] TRAIN  Step 24,576/100,000 (24.6%) | Loss 97.964378 | FPS 1835
[23:02:32] TRAIN  Step 25,000/100,000 (25.0%) | FPS 1779
[23:02:32] TRAIN  Step 26,000/100,000 (26.0%) | FPS 1799
[23:02:33] TRAIN  Step 27,000/100,000 (27.0%) | FPS 1817
[23:02:33] TRAIN  Step 28,000/100,000 (28.0%) | FPS 1832
[23:02:33] TRAIN  Step 28,672/100,000 (28.7%) | Loss 270.672974 | FPS 1839
[23:02:34] TRAIN  Step 29,000/100,000 (29.0%) | FPS 1786
[23:02:34] TRAIN  Step 30,000/100,000 (30.0%) | FPS 1803
[23:02:35] TRAIN  Step 31,000/100,000 (31.0%) | FPS 1822
[23:02:35] TRAIN  Step 32,000/100,000 (32.0%) | FPS 1838
[23:02:35] TRAIN  Step 32,768/100,000 (32.8%) | Loss 553.209961 | FPS 1849
[23:02:36] TRAIN  Step 33,000/100,000 (33.0%) | FPS 1799
[23:02:36] TRAIN  Step 34,000/100,000 (34.0%) | FPS 1811
[23:02:37] TRAIN  Step 35,000/100,000 (35.0%) | FPS 1825
[23:02:37] TRAIN  Step 36,000/100,000 (36.0%) | FPS 1840
[23:02:38] TRAIN  Step 36,864/100,000 (36.9%) | Loss 273.945862 | FPS 1851
[23:02:38] TRAIN  Step 37,000/100,000 (37.0%) | FPS 1808
