============================================================
  Model #19  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 23:09:43
============================================================
[23:09:44] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[23:10:09] TRAIN  Step 1,000/100,000 (1.0%) | FPS 1239
[23:10:09] TRAIN  Step 2,000/100,000 (2.0%) | FPS 1650
[23:10:10] TRAIN  Step 3,000/100,000 (3.0%) | FPS 1872
[23:10:10] TRAIN  Step 4,000/100,000 (4.0%) | FPS 1986
[23:10:10] TRAIN  Step 4,096/100,000 (4.1%) | FPS 1990
[23:10:11] TRAIN  Step 5,000/100,000 (5.0%) | FPS 1627
[23:10:11] TRAIN  Step 6,000/100,000 (6.0%) | FPS 1740
[23:10:12] TRAIN  Step 7,000/100,000 (7.0%) | FPS 1822
[23:10:12] TRAIN  Step 8,000/100,000 (8.0%) | FPS 1881
[23:10:12] TRAIN  Step 8,192/100,000 (8.2%) | Loss 160.471695 | FPS 1884
[23:10:14] TRAIN  Step 9,000/100,000 (9.0%) | FPS 1590
[23:10:14] TRAIN  Step 10,000/100,000 (10.0%) | FPS 1646
[23:10:15] TRAIN  Step 11,000/100,000 (11.0%) | FPS 1703
[23:10:15] TRAIN  Step 12,000/100,000 (12.0%) | FPS 1752
[23:10:15] TRAIN  Step 12,288/100,000 (12.3%) | Loss 370.455597 | FPS 1762
[23:10:16] TRAIN  Step 13,000/100,000 (13.0%) | FPS 1679
[23:10:16] TRAIN  Step 14,000/100,000 (14.0%) | FPS 1713
[23:10:17] TRAIN  Step 15,000/100,000 (15.0%) | FPS 1751
[23:10:17] TRAIN  Step 16,000/100,000 (16.0%) | FPS 1785
[23:10:17] TRAIN  Step 16,384/100,000 (16.4%) | Loss 512.897461 | FPS 1798
[23:10:18] TRAIN  Step 17,000/100,000 (17.0%) | FPS 1733
[23:10:18] TRAIN  Step 18,000/100,000 (18.0%) | FPS 1746
[23:10:19] TRAIN  Step 19,000/100,000 (19.0%) | FPS 1755
[23:10:19] TRAIN  Step 20,000/100,000 (20.0%) | FPS 1779
[23:10:19] TRAIN  Step 20,480/100,000 (20.5%) | Loss 386.407898 | FPS 1791
[23:10:20] TRAIN  Step 21,000/100,000 (21.0%) | FPS 1732
[23:10:21] TRAIN  Step 22,000/100,000 (22.0%) | FPS 1754
[23:10:21] TRAIN  Step 23,000/100,000 (23.0%) | FPS 1782
[23:10:21] TRAIN  Step 24,000/100,000 (24.0%) | FPS 1805
[23:10:22] TRAIN  Step 24,576/100,000 (24.6%) | Loss 318.631744 | FPS 1814
[23:10:22] TRAIN  Step 25,000/100,000 (25.0%) | FPS 1755
[23:10:23] TRAIN  Step 26,000/100,000 (26.0%) | FPS 1773
[23:10:23] TRAIN  Step 27,000/100,000 (27.0%) | FPS 1794
[23:10:23] TRAIN  Step 28,000/100,000 (28.0%) | FPS 1813
[23:10:24] TRAIN  Step 28,672/100,000 (28.7%) | Loss 840.529724 | FPS 1825
[23:10:24] TRAIN  Step 29,000/100,000 (29.0%) | FPS 1781
[23:10:25] TRAIN  Step 30,000/100,000 (30.0%) | FPS 1795
[23:10:25] TRAIN  Step 31,000/100,000 (31.0%) | FPS 1809
[23:10:26] TRAIN  Step 32,000/100,000 (32.0%) | FPS 1825
[23:10:26] TRAIN  Step 32,768/100,000 (32.8%) | Loss 1842.120117 | FPS 1837
[23:10:26] TRAIN  Step 33,000/100,000 (33.0%) | FPS 1793
[23:10:27] TRAIN  Step 34,000/100,000 (34.0%) | FPS 1793
[23:10:27] TRAIN  Step 35,000/100,000 (35.0%) | FPS 1808
[23:10:28] TRAIN  Step 36,000/100,000 (36.0%) | FPS 1822
[23:10:28] TRAIN  Step 36,864/100,000 (36.9%) | Loss 505.075958 | FPS 1831
[23:10:29] TRAIN  Step 37,000/100,000 (37.0%) | FPS 1789
[23:10:29] TRAIN  Step 38,000/100,000 (38.0%) | FPS 1801
[23:10:30] TRAIN  Step 39,000/100,000 (39.0%) | FPS 1816
[23:10:30] TRAIN  Step 40,000/100,000 (40.0%) | FPS 1831
[23:10:30] TRAIN  Step 40,960/100,000 (41.0%) | Loss 1477.060181 | FPS 1844
[23:10:31] TRAIN  Step 41,000/100,000 (41.0%) | FPS 1808
[23:10:31] TRAIN  Step 42,000/100,000 (42.0%) | FPS 1815
[23:10:32] TRAIN  Step 43,000/100,000 (43.0%) | FPS 1827
[23:10:32] TRAIN  Step 44,000/100,000 (44.0%) | FPS 1838
[23:10:32] TRAIN  Step 45,000/100,000 (45.0%) | FPS 1850
[23:10:32] TRAIN  Step 45,056/100,000 (45.1%) | Loss 525.020264 | FPS 1850
[23:10:33] TRAIN  Step 46,000/100,000 (46.0%) | FPS 1826
[23:10:34] TRAIN  Step 47,000/100,000 (47.0%) | FPS 1839
[23:10:34] TRAIN  Step 48,000/100,000 (48.0%) | FPS 1849
[23:10:34] TRAIN  Step 49,000/100,000 (49.0%) | FPS 1858
[23:10:34] TRAIN  Step 49,152/100,000 (49.2%) | Loss 364.357697 | FPS 1858
[23:10:35] TRAIN  Step 50,000/100,000 (50.0%) | FPS 1827
[23:10:36] TRAIN  Step 51,000/100,000 (51.0%) | FPS 1832
[23:10:36] TRAIN  Step 52,000/100,000 (52.0%) | FPS 1842
[23:10:37] TRAIN  Step 53,000/100,000 (53.0%) | FPS 1853
[23:10:37] TRAIN  Step 53,248/100,000 (53.2%) | Loss 805.157532 | FPS 1855
[23:10:38] TRAIN  Step 54,000/100,000 (54.0%) | FPS 1827
