============================================================
  Model #22  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 23:23:22
============================================================
[23:23:22] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[23:23:47] TRAIN  Step 1,000/100,000 (1.0%) | FPS 1222
[23:23:48] TRAIN  Step 2,000/100,000 (2.0%) | FPS 1588
[23:23:48] TRAIN  Step 3,000/100,000 (3.0%) | FPS 1746
[23:23:49] TRAIN  Step 4,000/100,000 (4.0%) | FPS 1885
[23:23:49] TRAIN  Step 4,096/100,000 (4.1%) | FPS 1885
[23:23:50] TRAIN  Step 5,000/100,000 (5.0%) | FPS 1529
[23:23:50] TRAIN  Step 6,000/100,000 (6.0%) | FPS 1607
[23:23:51] TRAIN  Step 7,000/100,000 (7.0%) | FPS 1684
[23:23:51] TRAIN  Step 8,000/100,000 (8.0%) | FPS 1747
[23:23:51] TRAIN  Step 8,192/100,000 (8.2%) | Loss 93.512123 | FPS 1760
[23:23:53] TRAIN  Step 9,000/100,000 (9.0%) | FPS 1459
[23:23:53] TRAIN  Step 10,000/100,000 (10.0%) | FPS 1523
[23:23:54] TRAIN  Step 11,000/100,000 (11.0%) | FPS 1572
[23:23:54] TRAIN  Step 12,000/100,000 (12.0%) | FPS 1607
[23:23:54] TRAIN  Step 12,288/100,000 (12.3%) | Loss 379.276306 | FPS 1611
[23:23:55] TRAIN  Step 13,000/100,000 (13.0%) | FPS 1541
[23:23:55] TRAIN  Step 14,000/100,000 (14.0%) | FPS 1588
[23:23:56] TRAIN  Step 15,000/100,000 (15.0%) | FPS 1629
[23:23:56] TRAIN  Step 16,000/100,000 (16.0%) | FPS 1643
[23:23:56] TRAIN  Step 16,384/100,000 (16.4%) | Loss 386.443726 | FPS 1655
[23:23:57] TRAIN  Step 17,000/100,000 (17.0%) | FPS 1580
[23:23:58] TRAIN  Step 18,000/100,000 (18.0%) | FPS 1615
[23:23:58] TRAIN  Step 19,000/100,000 (19.0%) | FPS 1649
[23:23:58] TRAIN  Step 20,000/100,000 (20.0%) | FPS 1680
[23:23:59] TRAIN  Step 20,480/100,000 (20.5%) | Loss 394.604767 | FPS 1680
[23:23:59] TRAIN  Step 21,000/100,000 (21.0%) | FPS 1631
[23:24:00] TRAIN  Step 22,000/100,000 (22.0%) | FPS 1657
[23:24:00] TRAIN  Step 23,000/100,000 (23.0%) | FPS 1677
[23:24:01] TRAIN  Step 24,000/100,000 (24.0%) | FPS 1696
[23:24:01] TRAIN  Step 24,576/100,000 (24.6%) | Loss 650.052673 | FPS 1704
[23:24:02] TRAIN  Step 25,000/100,000 (25.0%) | FPS 1658
[23:24:02] TRAIN  Step 26,000/100,000 (26.0%) | FPS 1675
[23:24:03] TRAIN  Step 27,000/100,000 (27.0%) | FPS 1696
[23:24:03] TRAIN  Step 28,000/100,000 (28.0%) | FPS 1714
[23:24:03] TRAIN  Step 28,672/100,000 (28.7%) | Loss 1239.364868 | FPS 1721
[23:24:04] TRAIN  Step 29,000/100,000 (29.0%) | FPS 1672
[23:24:04] TRAIN  Step 30,000/100,000 (30.0%) | FPS 1689
[23:24:05] TRAIN  Step 31,000/100,000 (31.0%) | FPS 1699
[23:24:05] TRAIN  Step 32,000/100,000 (32.0%) | FPS 1714
[23:24:06] TRAIN  Step 32,768/100,000 (32.8%) | Loss 743.568604 | FPS 1729
[23:24:06] TRAIN  Step 33,000/100,000 (33.0%) | FPS 1690
[23:24:07] TRAIN  Step 34,000/100,000 (34.0%) | FPS 1701
[23:24:07] TRAIN  Step 35,000/100,000 (35.0%) | FPS 1713
[23:24:08] TRAIN  Step 36,000/100,000 (36.0%) | FPS 1716
[23:24:08] TRAIN  Step 36,864/100,000 (36.9%) | Loss 618.245850 | FPS 1728
[23:24:08] TRAIN  Step 37,000/100,000 (37.0%) | FPS 1692
[23:24:09] TRAIN  Step 38,000/100,000 (38.0%) | FPS 1707
[23:24:09] TRAIN  Step 39,000/100,000 (39.0%) | FPS 1724
[23:24:10] TRAIN  Step 40,000/100,000 (40.0%) | FPS 1732
[23:24:10] TRAIN  Step 40,960/100,000 (41.0%) | Loss 1478.735352 | FPS 1742
[23:24:11] TRAIN  Step 41,000/100,000 (41.0%) | FPS 1708
[23:24:11] TRAIN  Step 42,000/100,000 (42.0%) | FPS 1718
[23:24:11] TRAIN  Step 43,000/100,000 (43.0%) | FPS 1731
[23:24:12] TRAIN  Step 44,000/100,000 (44.0%) | FPS 1741
[23:24:12] TRAIN  Step 45,000/100,000 (45.0%) | FPS 1753
[23:24:12] TRAIN  Step 45,056/100,000 (45.1%) | Loss 536.509644 | FPS 1750
[23:24:13] TRAIN  Step 46,000/100,000 (46.0%) | FPS 1723
[23:24:14] TRAIN  Step 47,000/100,000 (47.0%) | FPS 1734
[23:24:14] TRAIN  Step 48,000/100,000 (48.0%) | FPS 1743
[23:24:15] TRAIN  Step 49,000/100,000 (49.0%) | FPS 1756
[23:24:15] TRAIN  Step 49,152/100,000 (49.2%) | Loss 481.020447 | FPS 1757
[23:24:15] TRAIN  Step 50,000/100,000 (50.0%) | FPS 1736
[23:24:16] TRAIN  Step 51,000/100,000 (51.0%) | FPS 1741
[23:24:16] TRAIN  Step 52,000/100,000 (52.0%) | FPS 1744
[23:24:17] TRAIN  Step 53,000/100,000 (53.0%) | FPS 1753
[23:24:17] TRAIN  Step 53,248/100,000 (53.2%) | Loss 507.916016 | FPS 1755
[23:24:18] TRAIN  Step 54,000/100,000 (54.0%) | FPS 1738
[23:24:18] TRAIN  Step 55,000/100,000 (55.0%) | FPS 1748
[23:24:19] TRAIN  Step 56,000/100,000 (56.0%) | FPS 1753
[23:24:19] TRAIN  Step 57,000/100,000 (57.0%) | FPS 1760
[23:24:19] TRAIN  Step 57,344/100,000 (57.3%) | Loss 524.206604 | FPS 1761
[23:24:20] TRAIN  Step 58,000/100,000 (58.0%) | FPS 1740
[23:24:20] TRAIN  Step 59,000/100,000 (59.0%) | FPS 1748
[23:24:21] TRAIN  Step 60,000/100,000 (60.0%) | FPS 1755
[23:24:21] TRAIN  Step 61,000/100,000 (61.0%) | FPS 1761
[23:24:21] TRAIN  Step 61,440/100,000 (61.4%) | Loss 300.228821 | FPS 1765
[23:24:22] TRAIN  Step 62,000/100,000 (62.0%) | FPS 1745
[23:24:23] TRAIN  Step 63,000/100,000 (63.0%) | FPS 1750
[23:24:23] TRAIN  Step 64,000/100,000 (64.0%) | FPS 1758
[23:24:23] TRAIN  Step 65,000/100,000 (65.0%) | FPS 1766
[23:24:24] TRAIN  Step 65,536/100,000 (65.5%) | Loss 869.622925 | FPS 1769
[23:24:24] TRAIN  Step 66,000/100,000 (66.0%) | FPS 1750
[23:24:25] TRAIN  Step 67,000/100,000 (67.0%) | FPS 1757
[23:24:25] TRAIN  Step 68,000/100,000 (68.0%) | FPS 1764
[23:24:26] TRAIN  Step 69,000/100,000 (69.0%) | FPS 1768
[23:24:26] TRAIN  Step 69,632/100,000 (69.6%) | Loss 696.116211 | FPS 1771
[23:24:27] TRAIN  Step 70,000/100,000 (70.0%) | FPS 1752
[23:24:27] TRAIN  Step 71,000/100,000 (71.0%) | FPS 1757
[23:24:27] TRAIN  Step 72,000/100,000 (72.0%) | FPS 1766
[23:24:28] TRAIN  Step 73,000/100,000 (73.0%) | FPS 1773
[23:24:28] TRAIN  Step 73,728/100,000 (73.7%) | Loss 164.387100 | FPS 1778
[23:24:29] TRAIN  Step 74,000/100,000 (74.0%) | FPS 1756
[23:24:29] TRAIN  Step 75,000/100,000 (75.0%) | FPS 1760
[23:24:30] TRAIN  Step 76,000/100,000 (76.0%) | FPS 1768
[23:24:30] TRAIN  Step 77,000/100,000 (77.0%) | FPS 1776
[23:24:30] TRAIN  Step 77,824/100,000 (77.8%) | Loss 485.750427 | FPS 1781
[23:24:31] TRAIN  Step 78,000/100,000 (78.0%) | FPS 1764
[23:24:31] TRAIN  Step 79,000/100,000 (79.0%) | FPS 1769
[23:24:32] TRAIN  Step 80,000/100,000 (80.0%) | FPS 1771
[23:24:32] TRAIN  Step 81,000/100,000 (81.0%) | FPS 1775
[23:24:33] TRAIN  Step 81,920/100,000 (81.9%) | Loss 398.392914 | FPS 1779
[23:24:33] TRAIN  Step 82,000/100,000 (82.0%) | FPS 1760
[23:24:34] TRAIN  Step 83,000/100,000 (83.0%) | FPS 1763
[23:24:34] TRAIN  Step 84,000/100,000 (84.0%) | FPS 1769
[23:24:35] TRAIN  Step 85,000/100,000 (85.0%) | FPS 1774
[23:24:35] TRAIN  Step 86,000/100,000 (86.0%) | FPS 1778
[23:24:35] TRAIN  Step 86,016/100,000 (86.0%) | Loss 247.894196 | FPS 1778
[23:24:36] TRAIN  Step 87,000/100,000 (87.0%) | FPS 1764
[23:24:36] TRAIN  Step 88,000/100,000 (88.0%) | FPS 1770
[23:24:37] TRAIN  Step 89,000/100,000 (89.0%) | FPS 1777
[23:24:37] TRAIN  Step 90,000/100,000 (90.0%) | FPS 1783
[23:24:37] TRAIN  Step 90,112/100,000 (90.1%) | Loss 276.038391 | FPS 1783
[23:24:38] TRAIN  Step 91,000/100,000 (91.0%) | FPS 1767
[23:24:39] TRAIN  Step 92,000/100,000 (92.0%) | FPS 1772
[23:24:39] TRAIN  Step 93,000/100,000 (93.0%) | FPS 1778
[23:24:39] TRAIN  Step 94,000/100,000 (94.0%) | FPS 1784
[23:24:39] TRAIN  Step 94,208/100,000 (94.2%) | Loss 192.147141 | FPS 1785
[23:24:40] TRAIN  Step 95,000/100,000 (95.0%) | FPS 1772
[23:24:41] TRAIN  Step 96,000/100,000 (96.0%) | FPS 1777
[23:24:41] TRAIN  Step 97,000/100,000 (97.0%) | FPS 1782
[23:24:42] TRAIN  Step 98,000/100,000 (98.0%) | FPS 1784
[23:24:42] TRAIN  Step 98,304/100,000 (98.3%) | Loss 362.409332 | FPS 1785
[23:24:42] TRAIN  Step 99,000/100,000 (99.0%) | FPS 1771
[23:24:43] TRAIN  Step 100,000/100,000 (100.0%) | FPS 1776
[23:24:43] TRAIN  Step 101,000/100,000 (101.0%) | FPS 1782
[23:24:44] TRAIN  Step 102,000/100,000 (102.0%) | FPS 1788
[23:24:44] TRAIN  Step 102,400/100,000 (102.4%) | Loss 422.249725 | FPS 1790
[23:24:44] DONE   Training completed successfully.
[23:24:45] DONE     Training completed. Reward=995.2862343999998
