============================================================
  Model #20  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 23:18:35
============================================================
[23:18:36] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[23:19:02] TRAIN  Step 1,000/100,000 (1.0%) | FPS 1149
[23:19:02] TRAIN  Step 2,000/100,000 (2.0%) | FPS 1518
[23:19:03] TRAIN  Step 3,000/100,000 (3.0%) | FPS 1746
[23:19:03] TRAIN  Step 4,000/100,000 (4.0%) | FPS 1899
[23:19:03] TRAIN  Step 4,096/100,000 (4.1%) | FPS 1904
[23:19:04] TRAIN  Step 5,000/100,000 (5.0%) | FPS 1531
[23:19:05] TRAIN  Step 6,000/100,000 (6.0%) | FPS 1621
[23:19:05] TRAIN  Step 7,000/100,000 (7.0%) | FPS 1713
[23:19:05] TRAIN  Step 8,000/100,000 (8.0%) | FPS 1780
[23:19:05] TRAIN  Step 8,192/100,000 (8.2%) | Loss 401.922943 | FPS 1787
[23:19:07] TRAIN  Step 9,000/100,000 (9.0%) | FPS 1485
[23:19:07] TRAIN  Step 10,000/100,000 (10.0%) | FPS 1543
[23:19:08] TRAIN  Step 11,000/100,000 (11.0%) | FPS 1590
[23:19:08] TRAIN  Step 12,000/100,000 (12.0%) | FPS 1636
[23:19:08] TRAIN  Step 12,288/100,000 (12.3%) | Loss 331.741974 | FPS 1638
[23:19:09] TRAIN  Step 13,000/100,000 (13.0%) | FPS 1572
[23:19:10] TRAIN  Step 14,000/100,000 (14.0%) | FPS 1612
[23:19:10] TRAIN  Step 15,000/100,000 (15.0%) | FPS 1653
[23:19:10] TRAIN  Step 16,000/100,000 (16.0%) | FPS 1688
[23:19:11] TRAIN  Step 16,384/100,000 (16.4%) | Loss 391.001190 | FPS 1693
[23:19:11] TRAIN  Step 17,000/100,000 (17.0%) | FPS 1621
[23:19:12] TRAIN  Step 18,000/100,000 (18.0%) | FPS 1652
[23:19:12] TRAIN  Step 19,000/100,000 (19.0%) | FPS 1685
[23:19:13] TRAIN  Step 20,000/100,000 (20.0%) | FPS 1712
[23:19:13] TRAIN  Step 20,480/100,000 (20.5%) | Loss 268.006744 | FPS 1721
[23:19:13] TRAIN  Step 21,000/100,000 (21.0%) | FPS 1667
[23:19:14] TRAIN  Step 22,000/100,000 (22.0%) | FPS 1685
[23:19:14] TRAIN  Step 23,000/100,000 (23.0%) | FPS 1708
[23:19:15] TRAIN  Step 24,000/100,000 (24.0%) | FPS 1725
[23:19:15] TRAIN  Step 24,576/100,000 (24.6%) | Loss 234.435303 | FPS 1737
[23:19:16] TRAIN  Step 25,000/100,000 (25.0%) | FPS 1686
[23:19:16] TRAIN  Step 26,000/100,000 (26.0%) | FPS 1709
[23:19:17] TRAIN  Step 27,000/100,000 (27.0%) | FPS 1723
[23:19:17] TRAIN  Step 28,000/100,000 (28.0%) | FPS 1728
[23:19:17] TRAIN  Step 28,672/100,000 (28.7%) | Loss 584.511841 | FPS 1736
[23:19:18] TRAIN  Step 29,000/100,000 (29.0%) | FPS 1690
[23:19:18] TRAIN  Step 30,000/100,000 (30.0%) | FPS 1708
[23:19:19] TRAIN  Step 31,000/100,000 (31.0%) | FPS 1727
[23:19:19] TRAIN  Step 32,000/100,000 (32.0%) | FPS 1739
[23:19:20] TRAIN  Step 32,768/100,000 (32.8%) | Loss 480.939850 | FPS 1750
[23:19:20] TRAIN  Step 33,000/100,000 (33.0%) | FPS 1703
[23:19:21] TRAIN  Step 34,000/100,000 (34.0%) | FPS 1712
[23:19:21] TRAIN  Step 35,000/100,000 (35.0%) | FPS 1729
[23:19:22] TRAIN  Step 36,000/100,000 (36.0%) | FPS 1740
[23:19:22] TRAIN  Step 36,864/100,000 (36.9%) | Loss 756.279236 | FPS 1753
[23:19:22] TRAIN  Step 37,000/100,000 (37.0%) | FPS 1716
[23:19:23] TRAIN  Step 38,000/100,000 (38.0%) | FPS 1727
[23:19:23] TRAIN  Step 39,000/100,000 (39.0%) | FPS 1739
[23:19:24] TRAIN  Step 40,000/100,000 (40.0%) | FPS 1746
[23:19:24] TRAIN  Step 40,960/100,000 (41.0%) | Loss 547.888123 | FPS 1759
[23:19:25] TRAIN  Step 41,000/100,000 (41.0%) | FPS 1724
[23:19:25] TRAIN  Step 42,000/100,000 (42.0%) | FPS 1729
[23:19:26] TRAIN  Step 43,000/100,000 (43.0%) | FPS 1742
[23:19:26] TRAIN  Step 44,000/100,000 (44.0%) | FPS 1752
[23:19:26] TRAIN  Step 45,000/100,000 (45.0%) | FPS 1762
[23:19:26] TRAIN  Step 45,056/100,000 (45.1%) | Loss 360.965088 | FPS 1762
[23:19:27] TRAIN  Step 46,000/100,000 (46.0%) | FPS 1738
[23:19:28] TRAIN  Step 47,000/100,000 (47.0%) | FPS 1747
[23:19:28] TRAIN  Step 48,000/100,000 (48.0%) | FPS 1758
[23:19:29] TRAIN  Step 49,000/100,000 (49.0%) | FPS 1769
[23:19:29] TRAIN  Step 49,152/100,000 (49.2%) | Loss 1021.764709 | FPS 1770
[23:19:30] TRAIN  Step 50,000/100,000 (50.0%) | FPS 1745
[23:19:30] TRAIN  Step 51,000/100,000 (51.0%) | FPS 1752
[23:19:30] TRAIN  Step 52,000/100,000 (52.0%) | FPS 1761
[23:19:31] TRAIN  Step 53,000/100,000 (53.0%) | FPS 1772
[23:19:31] TRAIN  Step 53,248/100,000 (53.2%) | Loss 3576.851807 | FPS 1774
[23:19:32] TRAIN  Step 54,000/100,000 (54.0%) | FPS 1753
[23:19:32] TRAIN  Step 55,000/100,000 (55.0%) | FPS 1761
[23:19:33] TRAIN  Step 56,000/100,000 (56.0%) | FPS 1765
[23:19:33] TRAIN  Step 57,000/100,000 (57.0%) | FPS 1771
[23:19:33] TRAIN  Step 57,344/100,000 (57.3%) | Loss 927.551453 | FPS 1774
[23:19:34] TRAIN  Step 58,000/100,000 (58.0%) | FPS 1753
[23:19:34] TRAIN  Step 59,000/100,000 (59.0%) | FPS 1761
[23:19:35] TRAIN  Step 60,000/100,000 (60.0%) | FPS 1770
[23:19:35] TRAIN  Step 61,000/100,000 (61.0%) | FPS 1779
[23:19:35] TRAIN  Step 61,440/100,000 (61.4%) | Loss 795.568970 | FPS 1783
[23:19:36] TRAIN  Step 62,000/100,000 (62.0%) | FPS 1750
[23:19:37] TRAIN  Step 63,000/100,000 (63.0%) | FPS 1755
[23:19:37] TRAIN  Step 64,000/100,000 (64.0%) | FPS 1763
[23:19:38] TRAIN  Step 65,000/100,000 (65.0%) | FPS 1772
[23:19:38] TRAIN  Step 65,536/100,000 (65.5%) | Loss 761.401367 | FPS 1776
[23:19:38] TRAIN  Step 66,000/100,000 (66.0%) | FPS 1756
[23:19:39] TRAIN  Step 67,000/100,000 (67.0%) | FPS 1761
[23:19:40] TRAIN  Step 68,000/100,000 (68.0%) | FPS 1760
[23:19:40] TRAIN  Step 69,000/100,000 (69.0%) | FPS 1768
[23:19:40] TRAIN  Step 69,632/100,000 (69.6%) | Loss 1191.262817 | FPS 1771
[23:19:41] TRAIN  Step 70,000/100,000 (70.0%) | FPS 1751
[23:19:41] TRAIN  Step 71,000/100,000 (71.0%) | FPS 1758
[23:19:42] TRAIN  Step 72,000/100,000 (72.0%) | FPS 1766
[23:19:42] TRAIN  Step 73,000/100,000 (73.0%) | FPS 1766
[23:19:43] TRAIN  Step 73,728/100,000 (73.7%) | Loss 1226.435425 | FPS 1770
[23:19:43] TRAIN  Step 74,000/100,000 (74.0%) | FPS 1751
[23:19:44] TRAIN  Step 75,000/100,000 (75.0%) | FPS 1758
[23:19:44] TRAIN  Step 76,000/100,000 (76.0%) | FPS 1766
[23:19:44] TRAIN  Step 77,000/100,000 (77.0%) | FPS 1774
[23:19:45] TRAIN  Step 77,824/100,000 (77.8%) | Loss 812.675049 | FPS 1778
[23:19:45] TRAIN  Step 78,000/100,000 (78.0%) | FPS 1756
[23:19:46] TRAIN  Step 79,000/100,000 (79.0%) | FPS 1761
[23:19:46] TRAIN  Step 80,000/100,000 (80.0%) | FPS 1768
[23:19:47] TRAIN  Step 81,000/100,000 (81.0%) | FPS 1774
[23:19:47] TRAIN  Step 81,920/100,000 (81.9%) | Loss 390.687225 | FPS 1779
[23:19:47] TRAIN  Step 82,000/100,000 (82.0%) | FPS 1762
[23:19:48] TRAIN  Step 83,000/100,000 (83.0%) | FPS 1769
[23:19:48] TRAIN  Step 84,000/100,000 (84.0%) | FPS 1774
[23:19:49] TRAIN  Step 85,000/100,000 (85.0%) | FPS 1777
[23:19:49] TRAIN  Step 86,000/100,000 (86.0%) | FPS 1783
[23:19:49] TRAIN  Step 86,016/100,000 (86.0%) | Loss 470.259277 | FPS 1783
[23:19:50] TRAIN  Step 87,000/100,000 (87.0%) | FPS 1770
[23:19:50] TRAIN  Step 88,000/100,000 (88.0%) | FPS 1775
[23:19:51] TRAIN  Step 89,000/100,000 (89.0%) | FPS 1782
[23:19:51] TRAIN  Step 90,000/100,000 (90.0%) | FPS 1785
[23:19:51] TRAIN  Step 90,112/100,000 (90.1%) | Loss 247.450424 | FPS 1786
[23:19:52] TRAIN  Step 91,000/100,000 (91.0%) | FPS 1770
[23:19:53] TRAIN  Step 92,000/100,000 (92.0%) | FPS 1776
[23:19:53] TRAIN  Step 93,000/100,000 (93.0%) | FPS 1782
[23:19:53] TRAIN  Step 94,000/100,000 (94.0%) | FPS 1787
[23:19:54] TRAIN  Step 94,208/100,000 (94.2%) | Loss 338.710175 | FPS 1788
[23:19:54] TRAIN  Step 95,000/100,000 (95.0%) | FPS 1777
[23:19:55] TRAIN  Step 96,000/100,000 (96.0%) | FPS 1780
[23:19:55] TRAIN  Step 97,000/100,000 (97.0%) | FPS 1785
[23:19:56] TRAIN  Step 98,000/100,000 (98.0%) | FPS 1790
[23:19:56] TRAIN  Step 98,304/100,000 (98.3%) | Loss 75.133194 | FPS 1792
[23:19:57] TRAIN  Step 99,000/100,000 (99.0%) | FPS 1778
[23:19:57] TRAIN  Step 100,000/100,000 (100.0%) | FPS 1783
[23:19:57] TRAIN  Step 101,000/100,000 (101.0%) | FPS 1789
[23:19:58] TRAIN  Step 102,000/100,000 (102.0%) | FPS 1793
[23:19:58] TRAIN  Step 102,400/100,000 (102.4%) | Loss 122.620903 | FPS 1793
[23:19:59] DONE   Training completed successfully.
[23:19:59] DONE     Training completed. Reward=None
